Name,Straße,PLZ/Stadt,Sterne,Bewertungen
Schlüters Pizza & More ,Von-Melle-Park 2,20146 Hamburg,"4,2",114
Veggie 2.0 ,Hardenbergstraße 34,10623 Berlin,"3,6",40
Cafeteria am Horn ,Carl-Alexander-Platz 1,99425 Weimar,-,-
Mensa am Park ,Marienstraße 15b,99423 Weimar,"3,6",5.155
Mensa Wernigerode ,Friedrichstraße 57–59,38855 Wernigerode,"3,6",490
Mensa Scheffelberg ,Scheffelstraße 39,08066 Zwickau,"3,5",67
Mensa Saarbrücken ,Campus,66123 Saarbrücken,"3,7",4.062
Mensa Hochschule für Musik ,Bismarckstraße 1,66119 Saarbrücken,"3,5",57
Mensa Hochschule für Musik ,Sedanstraße 15,42275 Wuppertal,"2,8",25
Mensa ME 04 ,Gaußstraße 20,42119 Wuppertal,"2,7",116
Mensa ME 02 ,Gaußstraße 20,42119 Wuppertal,"3,6",4.334
Mensa Campus Freudenberg ,Rainer-Gruenter-Straße 21,42119 Wuppertal,"3,4",353
Cafeteria Sport + Design ,Gaußstraße 20,42119 Wuppertal,"3,3",299
Mensa Bremerhaven ,An der Karlstadt 10,27568 Bremerhaven,"3,6",6.219
Cafeteria Bremerhaven ,An der Karlstadt 10,27568 Bremerhaven,"3,6",545
C@feteria ME 03 ,Gaußstraße 20,42119 Wuppertal,"3,5",356
Mensateria Campus Hubland Nord ,Magdalene-Schoch-Straße,97074 Würzburg,"3,6",8.382
Mensa Josef-Schneider-Straße ,Josef-Schneider-Straße 9,97080 Würzburg,"3,8",668
Mensa Campus Hubland Süd ,Am Hubland 16,97074 Würzburg,"3,6",1.868
Mensa am Studentenhaus ,Am Studentenhaus 1,97072 Würzburg,"3,7",5.136
Mensa Uni ,Albert-Einstein-Allee 11,89081 Ulm,"3,5",3.173
Cafeteria Uni West ,Albert-Einstein-Allee 11,89081 Ulm,"3,2",281
Cafeteria Helmholtzstraße , Helmholtzstraße 16,89081 Ulm,-,-
Mensa Hochschule ,Prittwitzstraße 10,89075 Ulm,"3,1",1.266
Essensausgabe Oberer Eselsberg , Albert-Einstein-Allee 55,89081 Ulm,-,-
Cafeteria Oberer Eselsberg ,Albert-Einstein-Allee 55,89081 Ulm,-,-
Mensa Röntgenring ,Röntgenring 12,97070 Würzburg,"3,6",1.306
Bistro am Haspel ,Paulus-Kirch-Straße 7,42285 Wuppertal,"3,3",305
Mensa Ring ,Klosterstraße 9,08056 Zwickau,"3,9",124
